#  idx     temp           <En>           fluEn          <rho>          flurho          <En2>         fluEn2          <EnN>          fluEnN         <phi>          fluphi         <phi2>        fluphi2         <phi4>        fluphi4        <theta>        flutheta       <theta2>       flutheta2      <theta4>      flutheta4        <Q>            fluQ           <Q2>           fluQ2          <Q4>          fluQ4           <N2>           fluN2 
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   0   8.350000e-01   -1.421541e+03   5.297210e+00   9.813499e-01   4.487095e-06   2.025823e+06   1.506954e+04   -3.214486e+06   1.197544e+04   7.011810e-03   1.809152e-06   6.313760e-05   3.615450e-08   1.000000e-08   7.090120e-25   8.430064e-01   6.507254e-05   7.119327e-01   1.049610e-04   5.103268e-01   1.390966e-04   8.684913e-01   6.040110e-05   7.553346e-01   1.005493e-04   5.735997e-01   1.415976e-04   5.112337e+06   4.667321e+00 
   1   8.357500e-01   -1.409083e+03   5.666014e+00   9.811034e-01   5.214663e-06   1.990845e+06   1.602136e+04   -3.185529e+06   1.280708e+04   7.073491e-03   1.914882e-06   6.425900e-05   3.790886e-08   1.000000e-08   7.090120e-25   8.403054e-01   7.628994e-05   7.074512e-01   1.241453e-04   5.041150e-01   1.663739e-04   8.660804e-01   7.078160e-05   7.512100e-01   1.189376e-04   5.675300e-01   1.696307e-04   5.109771e+06   5.423288e+00 
   2   8.365000e-01   -1.406020e+03   6.053193e+00   9.808486e-01   4.985797e-06   1.982538e+06   1.707603e+04   -3.177793e+06   1.368258e+04   7.135514e-03   1.792375e-06   6.540740e-05   3.527826e-08   1.000000e-08   7.090120e-25   8.374919e-01   7.656489e-05   7.028075e-01   1.218101e-04   4.977399e-01   1.574064e-04   8.635651e-01   7.148317e-05   7.469273e-01   1.175481e-04   5.612815e-01   1.617926e-04   5.107119e+06   5.182438e+00 
   3   8.372500e-01   -1.392372e+03   6.016247e+00   9.805858e-01   5.398306e-06   1.944403e+06   1.677362e+04   -3.146116e+06   1.359393e+04   7.199608e-03   1.969410e-06   6.658200e-05   3.960416e-08   1.000000e-08   7.090120e-25   8.345828e-01   8.228159e-05   6.980104e-01   1.308400e-04   4.911651e-01   1.685504e-04   8.609627e-01   7.668818e-05   7.424995e-01   1.261036e-04   5.548302e-01   1.732262e-04   5.104385e+06   5.610090e+00 
   4   8.380000e-01   -1.401052e+03   5.839410e+00   9.803152e-01   5.429418e-06   1.968648e+06   1.635033e+04   -3.164865e+06   1.318789e+04   7.266577e-03   1.848406e-06   6.784660e-05   3.930478e-08   1.000000e-08   7.090120e-25   8.315547e-01   7.949630e-05   6.930426e-01   1.269846e-04   4.844290e-01   1.650271e-04   8.582473e-01   7.394035e-05   7.378991e-01   1.221706e-04   5.481882e-01   1.693575e-04   5.101570e+06   5.641784e+00 
   5   8.387500e-01   -1.391288e+03   5.840536e+00   9.800450e-01   5.986875e-06   1.941485e+06   1.630260e+04   -3.141960e+06   1.319196e+04   7.332660e-03   2.028273e-06   6.908740e-05   4.342275e-08   1.000000e-08   7.090120e-25   8.284959e-01   8.981654e-05   6.880590e-01   1.408876e-04   4.777434e-01   1.779735e-04   8.554991e-01   8.377373e-05   7.332741e-01   1.360242e-04   5.415793e-01   1.834372e-04   5.098761e+06   6.217266e+00 
   6   8.395000e-01   -1.384048e+03   5.181500e+00   9.797519e-01   6.955223e-06   1.921150e+06   1.433232e+04   -3.124690e+06   1.169366e+04   7.401794e-03   2.219475e-06   7.040580e-05   4.513390e-08   1.000000e-08   7.090120e-25   8.251369e-01   1.108219e-04   6.826057e-01   1.728350e-04   4.704826e-01   2.155079e-04   8.524743e-01   1.038331e-04   7.281980e-01   1.678110e-04   5.343711e-01   2.238904e-04   5.095714e+06   7.220296e+00 
   7   8.402500e-01   -1.373649e+03   4.844820e+00   9.794527e-01   7.900165e-06   1.892426e+06   1.323927e+04   -3.100285e+06   1.093002e+04   7.478574e-03   2.957798e-06   7.189600e-05   6.156994e-08   1.000000e-08   7.090120e-25   8.216579e-01   1.236839e-04   6.769885e-01   1.908791e-04   4.630808e-01   2.337858e-04   8.493336e-01   1.155955e-04   7.229538e-01   1.851227e-04   5.269945e-01   2.430879e-04   5.092606e+06   8.196306e+00 
   8   8.410000e-01   -1.366110e+03   7.041782e+00   9.791494e-01   7.515843e-06   1.873187e+06   1.915578e+04   -3.082334e+06   1.588886e+04   7.552256e-03   2.233774e-06   7.332940e-05   4.751405e-08   1.000000e-08   7.090120e-25   8.180725e-01   1.159654e-04   6.712417e-01   1.787402e-04   4.556068e-01   2.178677e-04   8.460865e-01   1.085441e-04   7.175680e-01   1.736326e-04   5.195095e-01   2.271318e-04   5.089456e+06   7.794387e+00 
   9   8.417500e-01   -1.372915e+03   6.151513e+00   9.788414e-01   8.610631e-06   1.891378e+06   1.687263e+04   -3.096727e+06   1.386981e+04   7.627879e-03   2.819441e-06   7.481860e-05   5.884397e-08   1.000000e-08   7.090120e-25   8.143955e-01   1.386785e-04   6.653715e-01   2.120755e-04   4.480194e-01   2.558444e-04   8.427524e-01   1.301743e-04   7.120571e-01   2.066795e-04   5.118910e-01   2.675840e-04   5.086257e+06   8.928920e+00 
  10   8.425000e-01   -1.366000e+03   5.743450e+00   9.785204e-01   7.948953e-06   1.872365e+06   1.583687e+04   -3.080146e+06   1.295116e+04   7.701998e-03   2.392222e-06   7.628120e-05   5.152185e-08   1.000000e-08   7.090120e-25   8.104854e-01   1.370930e-04   6.592261e-01   2.041661e-04   4.402593e-01   2.375579e-04   8.391971e-01   1.298095e-04   7.062662e-01   2.010603e-04   5.040619e-01   2.515944e-04   5.082926e+06   8.234531e+00 
  11   8.432500e-01   -1.367458e+03   5.898461e+00   9.781759e-01   8.476071e-06   1.876621e+06   1.604861e+04   -3.082370e+06   1.329108e+04   7.785525e-03   2.679977e-06   7.798120e-05   6.095073e-08   1.000000e-08   7.090120e-25   8.062550e-01   1.672783e-04   6.526162e-01   2.216688e-04   4.319629e-01   2.355554e-04   8.353505e-01   1.555870e-04   7.000255e-01   2.186492e-04   4.956626e-01   2.506085e-04   5.079352e+06   8.771584e+00 
  12   8.440000e-01   -1.347750e+03   5.734230e+00   9.778253e-01   8.812133e-06   1.823133e+06   1.549011e+04   -3.036881e+06   1.291730e+04   7.870249e-03   2.443835e-06   7.969520e-05   5.405835e-08   1.000000e-08   7.090120e-25   8.020072e-01   1.521821e-04   6.458731e-01   2.231943e-04   4.234430e-01   2.555576e-04   8.314719e-01   1.436325e-04   6.936503e-01   2.195993e-04   4.870229e-01   2.707869e-04   5.075714e+06   9.125185e+00 
  13   8.447500e-01   -1.341536e+03   5.884725e+00   9.774674e-01   8.200947e-06   1.806676e+06   1.584400e+04   -3.021796e+06   1.325340e+04   7.954912e-03   2.945046e-06   8.143620e-05   6.558925e-08   1.840000e-08   5.237229e-10   7.975772e-01   1.408024e-04   6.389653e-01   2.051757e-04   4.149147e-01   2.313910e-04   8.274263e-01   1.329247e-04   6.870999e-01   2.022062e-04   4.783292e-01   2.458081e-04   5.072004e+06   8.488865e+00 
